target,(1+2) EA_{r/2,2r},(1+2) EA_>0,(1+2) EA_BMS,(1+2) EA_half,(1+2) EA_norm.,(1+2) EA_var.,(1+50) EA_{r/2,2r},(1+50) EA_>0,(1+50) EA_BMS,(1+50) EA_half,(1+50) EA_L1,(1+50) EA_L3,(1+50) EA_norm.,(1+50) EA_var.,RLS
4854,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
4855,1,1,1,1,1,1,1,1.02,1,1,1,1,1,1,1,,
4856,1,1,1,1,1,1,1,1.11,1,1,1,1,1,1,1,,
4857,1,1,1,1,1,1,1,1.11,1,1,1,1,1,1,1,,
4858,1,1,1,1,1.02,1,1,1.51,1,1,1,1,1,1,1,,
4859,1,1,1,1,1.02,1,1,1.61,1,1,1,1,1,1,1,,
4860,1,1,1,1,1.03,1,1,2.02,1,1,1,1,1,1.01,1,,
4861,1,1,1,1,1.03,1,1,2.02,1,1,1,1,1,1.11,1,,
4862,1.02,1,1,1.01,1.05,1,1,2.51,1,1,1,1,1,1.52,1,,
4863,1.05,1,1,1.04,1.05,1,1,2.54,1,1,1,1,1,1.52,1,,
4864,1.05,1,1,1.05,1.08,1,1,2.8,1,1,1,1,1,1.76,1,,
4865,1.08,1,1,1.09,1.1,1,1,2.8,1,1,1,1,1,2.05,1,,
4866,1.08,1,1,1.1,1.11,1,1,3.02,1,1,1,1,1,2.6,1,,
4867,1.08,1,1,1.1,1.11,1,1,3.24,1,1,1,1,1,2.61,1,,
4868,1.08,1,1,1.11,1.2,1,1,3.51,1,1,1,1,1,3.39,1,,
4869,1.08,1,1,1.13,1.24,1,1,3.51,1,1,1,1,1,3.67,1,,
4870,1.08,1,1,1.15,1.26,1,1,4.02,1,1,1,1,1,4.06,1.04,,
4871,1.08,1,1,1.15,1.28,1,1,4.14,1,1,1,1,1,4.06,1.06,,
4872,1.08,1,1,1.15,1.28,1,1,4.26,1,1,1,1,1,4.53,1.08,,
4873,1.08,1,1,1.15,1.31,1,1,4.26,1,1.07,1,1,1,4.65,1.1,,
4874,1.08,1,1,1.15,1.31,1,1,4.56,1,1.53,1,1,1.06,5.02,1.13,,
4875,1.09,1,1,1.15,1.34,1,1,4.58,1,1.81,1,1,1.53,5.16,1.16,,
4876,1.09,1,1,1.15,1.34,1,1,5.02,1,2.05,1,1,1.9,5.3,1.18,,
4877,1.09,1,1,1.17,1.36,1,1,5.06,1,2.05,1,1,2.1,5.56,1.19,,
4878,1.15,1,1,1.17,1.38,1,1,5.53,1,2.38,1,1,2.1,5.56,1.22,,
4879,1.15,1,1,1.17,1.38,1,1,5.68,1,2.38,1,1,2.62,6.04,1.23,,
4880,1.21,1,1,1.17,1.39,1,1,6.04,1,2.56,1,1,2.62,6.04,1.26,,
4881,1.24,1,1,1.17,1.39,1,1,6.41,1,2.56,1,1,2.7,6.08,1.27,,
4882,1.31,1,1,1.19,1.39,1,1,6.51,1,2.6,1,1,3.11,6.67,1.29,,
4883,1.34,1,1,1.22,1.39,1,1,6.53,1,2.6,1,1,3.11,6.71,1.31,,
4884,1.37,1,1,1.24,1.44,1,1,6.73,1,2.86,1.06,1,3.52,7.08,1.33,,
4885,1.43,1,1,1.25,1.47,1,1,7.01,1,3.01,1.38,1,4.08,7.08,1.36,,
4886,1.49,1,1,1.25,1.47,1,1,7.15,1,3.07,1.54,1,4.08,7.15,1.37,,
4887,1.59,1,1,1.25,1.47,1,1,7.27,1,3.07,1.55,1,4.11,7.63,1.41,,
